Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint 75th Ave Phoenix,175840512,2026-01-12T20:22:07.96,Retail,In-Store Pickup,Leafly,30851724,2,No,51702,Sam Gilligan,REGISTER-16 PM,65,35,30,7.53,0,37.53,3,40,0,0,0,0,40,2.45,0.03,0,No,No,No,,175840512,a0024a5b-1106-49d5-904c-10b83cceae34
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,Retail,In-Store Pickup,Dutchie,18901578,1,Yes,51702,Sam Gilligan,REGISTER-16 PM,255,192.5,62.5,5.69,0,68.19,6,80.2,0,0,0,0,80.2,12,0.06,0,No,No,No,,180899421,1f6e085c-13ee-4087-9bba-242def319e28
Mint 75th Ave Phoenix,175841863,2026-01-12T23:03:02.643,Retail,In-Store Pickup,Leafly,46595650,2,No,57778,Maximus Mercado,REGISTER-07 PM,60,12,48,12.05,0,60.05,1,61,0,0,0,0,61,0.95,,,No,No,No,,175841863,c85701ca-2025-43a3-b027-c0c246fd04c2
Mint 75th Ave Phoenix,175842194,2026-01-12T19:56:21.67,Retail,In-Store Pickup,Dutchie,46039080,1,Yes,51702,Sam Gilligan,REGISTER-16 PM,632,482,150,13.65,0,163.65,15,200,0,0,0,0,200,36.35,0.15,0,No,No,No,,225065928,94f0b2ac-7ed9-42b0-be69-ac8007a8a1b3
Mint 75th Ave Phoenix,175842975,2026-01-12T19:51:51.587,Retail,In-Store Pickup,Leafly,16825055,2,No,51702,Sam Gilligan,REGISTER-16 PM,104,10.4,93.6,23.49,0,117.09,2,120.1,0,0,0,0,120.1,3,0.09,0,No,No,No,,175842975,2e5c1ed7-6c90-4e59-af05-c106f0d0808b
Mint 75th Ave Phoenix,175844099,2026-01-12T19:17:07.67,Retail,In-Store Pickup,Dutchie,23525026,2,No,57778,Maximus Mercado,REGISTER-07 PM,5,0,5,1.26,0,6.26,1,7,0,0,0,0,7,0.75,0.01,0,No,No,No,,668126524,6363e53d-35e9-48ae-bdab-21f26955e435
Mint 75th Ave Phoenix,175844156,2026-01-12T20:43:18.34,Retail,In-Store Pickup,Dutchie,38265251,2,No,51702,Sam Gilligan,REGISTER-16 PM,65,35,30,7.53,0,37.53,2,40,0,0,0,0,40,2.45,0.03,0,No,No,No,,557930624,5328d54f-b73c-42fb-96d7-cd079a55034c
Mint 75th Ave Phoenix,175844307,2026-01-12T23:15:42.357,Retail,In-Store Pickup,Dutchie,35465423,2,No,57778,Maximus Mercado,REGISTER-07 PM,40,20,20,5.02,0,25.02,1,0,0,0,0,0,0,0,0.02,0,No,No,No,,742948205,10e63580-a3b5-46a7-a749-61fcbbf26707
Mint 75th Ave Phoenix,175844408,2026-01-12T20:18:46.007,Retail,In-Store Pickup,Dutchie,32633605,2,No,51702,Sam Gilligan,REGISTER-16 PM,55,35,20,5.02,0,25.02,3,0,0,0,0,0,0,0,0.02,0,No,No,No,,279123598,71227e25-6f9f-41ae-bbdb-d95541dcf028
Mint 75th Ave Phoenix,175844876,2026-01-12T21:51:37.803,Retail,In-Store Pickup,Leafly,30607811,2,No,51702,Sam Gilligan,REGISTER-16 PM,24,0,24,6.02,0,30.02,2,30.02,0,0,0,0,30.02,0,0.02,0,No,No,No,,175844876,519b77de-6dad-4fc7-b4af-bea7840c350e
