Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Bonita Springs ,175845318,2026-01-12T19:11:14.273,Retail,In Store,Walk In,46295076,1,Yes,60577,Ashley Guerrazzi,POS Register 4,20,0,20,0,0,20,2,0,20,0,0,0,0,0,,,No,No,No,,175845318,c560ae91-76cf-4a94-9610-0ad329ae193a
Mint Bonita Springs ,175847863,2026-01-13T14:12:21.86,Retail,In-Store Pickup,Dutchie,46193181,1,Yes,60557,Alex Decker,POS Register 7,132,76,56,0,0,56,3,60,0,0,0,0,60,4,,,No,No,No,,907477468,266e9256-4cc1-42b0-b228-adb34b151022
Mint Bonita Springs ,175848848,2026-01-13T12:08:12.39,Retail,In Store,Walk In,46211211,1,Yes,60557,Alex Decker,POS Register 7,90,45,45,0,0,45,2,0,0,0,0,45,0,0,,,No,No,No,,175848848,3a4312fa-1ae3-4bef-9d6d-11158752c58f
Mint Bonita Springs ,175849069,2026-01-13T14:25:03.093,Retail,In-Store Pickup,Dutchie,47045356,1,Yes,60318,Abigail Yontz,POS Register 1,10,10,0,0,0,0,1,0,0,0,0,0,0,0,,,No,No,No,,718336848,37861bfd-99c0-4f3d-ad43-085a63920264
Mint Bonita Springs ,175849109,2026-01-13T10:43:18.493,Retail,In Store,Walk In,46265264,1,Yes,60557,Alex Decker,POS Register 7,202,107.5,94.5,0,0,94.5,3,100,0,0,0,0,100,5.5,,,No,No,No,,175849109,cd57689a-b82b-43e0-93f1-118b8c9621d2
Mint Bonita Springs ,175849167,2026-01-13T10:47:32.517,Retail,In Store,Walk In,46265264,1,Yes,60557,Alex Decker,POS Register 7,15,0,15,0,0,15,1,15,0,0,0,0,15,0,,,No,No,No,,175849167,fc1fdfb3-214a-42ed-a282-c1c3626b924d
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,Retail,In Store,Walk In,46196839,1,Yes,60557,Alex Decker,POS Register 7,990,574,416,0,0,416,12,400,16,0,0,0,400,0,,,No,No,No,,175849397,d412e089-9184-44b8-b37c-78679c4501c9
Mint Bonita Springs ,175849981,2026-01-13T12:51:40.67,Retail,In Store,Walk In,46908281,1,Yes,60456,Paige Pahl,POS Register 3,180,109,71,0,0,71,3,71,0,0,0,0,71,0,,,No,No,No,,175849981,d7f30114-beda-4a3b-8619-d9fc91dbd290
Mint Bonita Springs ,175850600,2026-01-13T14:07:59.253,Retail,In Store,Walk In,46215842,1,Yes,60318,Abigail Yontz,POS Register 1,220,132,88,0,0,88,4,0,90,0,0,0,0,2,,,No,No,No,,175850600,8ab34b78-7f7e-49e3-89b5-13e64c7cd924
Mint Bonita Springs ,175852528,2026-01-13T17:28:26.18,Retail,In Store,Walk In,46285918,1,Yes,60318,Abigail Yontz,POS Register 1,212,121,91,0,0,91,6,100,0,0,0,0,100,9,,,No,No,No,,175852528,e64bc8de-d599-4198-a997-ba571ce657c7
Mint Bonita Springs ,175852636,2026-01-13T17:37:28.713,Retail,In Store,Walk In,46280282,1,Yes,60318,Abigail Yontz,POS Register 1,87,57.75,29.25,0,0,29.25,3,30,0,0,0,0,30,0.75,,,No,No,No,,175852636,b2ce5681-449f-4821-bd45-d9e6a0d48104
Mint Bonita Springs ,175852713,2026-01-13T17:45:26.99,Retail,In Store,Walk In,46307653,1,Yes,60456,Paige Pahl,POS Register 3,95,52.25,42.75,0,0,42.75,1,60,0,0,0,0,60,17.25,,,No,No,No,,175852713,03d6b242-ddd5-4f59-a0f1-c2dd3f8876c3
Mint Bonita Springs ,175852716,2026-01-13T17:48:29.33,Retail,In Store,Walk In,46277294,1,Yes,60456,Paige Pahl,POS Register 3,190,104.5,85.5,0,0,85.5,2,100.5,0,0,0,0,100.5,15,,,No,No,No,,175852716,8c5c4b5e-e8aa-4e88-ac6a-b21af04d04c4
Mint Bonita Springs ,175852905,2026-01-13T18:13:36.083,Retail,In Store,Walk In,46826904,1,Yes,60456,Paige Pahl,POS Register 3,120,76,44,0,0,44,5,0,50,0,0,0,0,6,,,No,No,No,,175852905,4aa1cd28-d452-4ac7-bbaa-78d849f5c3ea
