Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Bradenton,175846153,2026-01-12T20:26:21.527,Retail,In Store,Walk In,46963202,1,Yes,60482,Noah Woodruff,POS Register 4,90,45,45,0,0,45,2,0,50,0,0,0,0,5,,,No,No,No,,175846153,35afa9be-2c56-4f6d-910d-c94589b65ad3
Mint Bradenton,175848649,2026-01-13T16:27:59.403,Retail,In-Store Pickup,Dutchie,46262915,1,Yes,60482,Noah Woodruff,POS Register 4,120,72,48,0,0,48,1,60,0,0,0,0,60,12,,,No,No,No,,768504697,78bf7c01-c117-453d-995a-9c57fdd47ff2
Mint Bradenton,175848687,2026-01-13T08:51:08.493,Retail,In Store,Walk In,46804952,1,Yes,59818,Thomas Gellenbeck,POS Register 5,45,15,30,0,0,30,2,0,30,0,0,0,0,0,,,No,No,No,,175848687,3b8a1f5d-cfec-449f-bdd4-543cb7a85aaa
Mint Bradenton,175849061,2026-01-13T10:35:05.153,Retail,In Store,Walk In,46152543,1,Yes,59818,Thomas Gellenbeck,POS Register 5,150,71,79,0,0,79,5,79,0,0,0,0,79,0,,,No,No,No,,175849061,61d29dc0-340f-46e3-ba27-2b372f76ab7b
Mint Bradenton,175849398,2026-01-13T11:31:20.407,Retail,In Store,Walk In,47036524,1,Yes,59818,Thomas Gellenbeck,POS Register 5,125,61.25,63.75,0,0,63.75,3,0,70,0,0,0,0,6.25,,,No,No,No,,175849398,c1f3abb9-38df-4e7e-902f-0cdec199dea8
Mint Bradenton,175849619,2026-01-13T17:00:39.26,Retail,In-Store Pickup,Dutchie,46280195,1,Yes,60004,Natalia Ortiz,POS Register 2,45,20,25,0,0,25,1,0,30,0,0,0,0,5,,,No,No,No,,789214151,821bce8e-60b4-4d16-a1f0-7c5ee829b0de
Mint Bradenton,175850047,2026-01-13T13:07:40.04,Retail,In Store,Walk In,46194866,1,Yes,60004,Natalia Ortiz,POS Register 2,150,71,79,0,0,79,5,100,0,0,0,0,100,21,,,No,No,No,,175850047,dc7ce696-994e-464f-9b4e-133ff947b7f3
Mint Bradenton,175850240,2026-01-13T13:53:26.677,Retail,In-Store Pickup,Dutchie,46813506,1,Yes,60004,Natalia Ortiz,POS Register 2,35,17.5,17.5,0,0,17.5,1,0,20,0,0,0,0,2.5,,,No,No,No,,503578334,046b0aa0-ef26-4344-a799-a34673987f8a
Mint Bradenton,175850349,2026-01-13T13:41:53.5,Retail,In Store,Walk In,46194663,1,Yes,60482,Noah Woodruff,POS Register 4,220,76,144,0,0,144,6,200,0,0,0,0,200,56,,,No,No,No,,175850349,e93f0d1e-93c2-4a0a-8d59-b5497affc57a
Mint Bradenton,175850644,2026-01-13T14:12:31.96,Retail,In Store,Walk In,47021185,1,Yes,60482,Noah Woodruff,POS Register 4,80,48,32,0,0,32,8,0,0,0,0,32,0,0,,,No,No,No,,175850644,a065b5a1-760c-46bb-b7f3-664bd94c10e3
Mint Bradenton,175850862,2026-01-13T14:32:28.877,Retail,In Store,Walk In,46218186,1,Yes,60004,Natalia Ortiz,POS Register 2,45,15,30,0,0,30,2,40,0,0,0,0,40,10,,,No,No,No,,175850862,4898049a-5e28-4d09-9fd2-d4f7b3431687
Mint Bradenton,175850863,2026-01-13T17:36:22.927,Retail,In-Store Pickup,Dutchie,46142530,1,Yes,60482,Noah Woodruff,POS Register 4,140,61,79,0,0,79,4,0,0,0,0,79,0,0,,,No,No,No,,799773151,0c5ede5e-375b-4aed-8cf0-a384bb299635
Mint Bradenton,175851551,2026-01-13T15:51:41.973,Retail,In Store,Walk In,46284214,1,Yes,60482,Noah Woodruff,POS Register 4,200,126,74,0,0,74,3,0,80,0,0,0,0,6,,,No,No,No,,175851551,cddfbb9f-2a44-4ffe-8e15-41b0ae84b76d
Mint Bradenton,175852392,2026-01-13T17:21:00.25,Retail,In Store,Walk In,47045693,1,Yes,60004,Natalia Ortiz,POS Register 2,202,130,72,0,0,72,5,80,0,0,0,0,80,8,,,No,No,No,,175852392,09fcd755-631f-427d-b5ae-dce07dbb2076
Mint Bradenton,175852733,2026-01-13T17:49:48.737,Retail,In Store,Walk In,46277855,1,Yes,60004,Natalia Ortiz,POS Register 2,370,163,207,0,0,207,10,0,210,0,0,0,0,3,,,No,No,No,,175852733,e2e2225a-2c96-4031-a80a-d1f92dfd5e24
Mint Bradenton,175852771,2026-01-13T17:49:53.55,Retail,In Store,Walk In,46231160,1,Yes,60482,Noah Woodruff,POS Register 4,85,45,40,0,0,40,4,0,40,0,0,0,0,0,,,No,No,No,,175852771,a58106b1-c79a-49ba-8399-de2afabfb7e1
Mint Bradenton,175853458,2026-01-13T18:55:00.443,Retail,In Store,Walk In,47035601,1,Yes,60004,Natalia Ortiz,POS Register 2,259,165.16,93.84,0,0,93.84,7,0,100,0,0,0,0,6.16,,,No,No,No,,175853458,27104e49-5003-407d-a8b4-b6c280265736
Mint Bradenton,175853490,2026-01-13T18:55:09.147,Retail,In Store,Walk In,47045776,1,Yes,60482,Noah Woodruff,POS Register 4,80,48,32,0,0,32,2,35,0,0,0,0,35,3,,,No,No,No,,175853490,949c3eef-65d4-4102-a25c-a01b389cdee2
