Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Brandon,175815849,2026-01-13T16:24:24.27,Retail,In Store,Walk In,46557829,1,Yes,59933,Kenyatta McDonald,PIC 2,15,15,0,0,0,0,1,0,0,0,0,0,0,0,,0,No,No,No,,175815849,67893fe4-2c5a-4cd3-a4a0-a9ba0835daf9
Mint Brandon,175842848,2026-01-13T16:31:49.673,Retail,In Store,Walk In,46281293,1,Yes,60147,Nicole Hobbs,POS Register 5,10,10,0,0,0,0,1,0,0,0,0,0,0,0,,,Yes,No,No,,175842848,08b8609d-9b5e-41cd-a257-9303a87e1aff
Mint Brandon,175845179,2026-01-12T19:01:01.067,Retail,In Store,Walk In,47044935,1,Yes,60147,Nicole Hobbs,POS Register 5,295,177,118,0,0,118,4,120,0,0,0,0,120,2,,,No,No,No,,175845179,b9473d39-6fef-48cf-918b-e0114db0aaa5
Mint Brandon,175845492,2026-01-12T19:25:01.86,Retail,In Store,Walk In,46281541,1,Yes,59933,Kenyatta McDonald,POS Register 4,70,35,35,0,0,35,2,0,40,0,0,0,0,5,,,No,No,No,,175845492,103e6282-85e6-4f7d-a2cc-e744f9a7c202
Mint Brandon,175845746,2026-01-12T19:47:12.88,Retail,In Store,Walk In,47044997,1,Yes,59933,Kenyatta McDonald,POS Register 4,78,46.8,31.2,0,0,31.2,6,0,40,0,0,0,0,8.8,,,No,No,No,,175845746,8e621c47-d32f-4368-84c4-6608dba979cd
Mint Brandon,175845868,2026-01-12T19:59:23.213,Retail,In Store,Walk In,47045015,1,Yes,59933,Kenyatta McDonald,POS Register 4,120,72,48,0,0,48,1,50,0,0,0,0,50,2,,,No,No,No,,175845868,0c537b87-c74a-4cb9-b86b-4015f3f28512
Mint Brandon,175845893,2026-01-12T20:00:30.863,Retail,In Store,Walk In,46205510,1,Yes,60147,Nicole Hobbs,POS Register 5,28,9.8,18.2,0,0,18.2,1,20,0,0,0,0,20,1.8,,,No,No,No,,175845893,083ce32b-5cf5-4ae0-9aa6-2a415b21fddf
Mint Brandon,175846261,2026-01-12T20:34:36.383,Retail,In Store,Walk In,46293258,1,Yes,60147,Nicole Hobbs,POS Register 5,35,14.7,20.3,0,0,20.3,1,20.5,0,0,0,0,20.5,0.2,,,No,No,No,,175846261,0133f9d2-fd57-418b-a3d8-52cf66bee0db
Mint Brandon,175846281,2026-01-12T20:36:05.693,Retail,In Store,Walk In,46256742,1,Yes,59933,Kenyatta McDonald,POS Register 4,100,57.25,42.75,0,0,42.75,2,0,0,0,0,42.75,0,0,,,No,No,No,,175846281,a2462137-bbdb-4a2f-8421-de8500f570a6
Mint Brandon,175848616,2026-01-13T08:06:22.487,Retail,In Store,Walk In,47045327,1,Yes,60627,Kayla Rivera,POS Register 2,95,57,38,0,0,38,1,50,0,0,0,0,50,12,,,No,No,No,,175848616,2d5751c7-0fb6-4ad5-a01c-0adfd4d8e82a
Mint Brandon,175848681,2026-01-13T08:46:09.8,Retail,In Store,Walk In,46954669,1,Yes,60627,Kayla Rivera,POS Register 2,35,15,20,0,0,20,1,20,0,0,0,0,20,0,,,No,No,No,,175848681,0999410a-08c8-438d-942c-4673b3375dd9
