Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Coldwater,175843008,2026-01-12T19:59:15.137,Retail,In-Store Pickup,Weedmaps,27853684,2,No,56205,Erin Taylor,2PM,7.5,3,4.5,0.75,0,5.25,2,10.25,0,0,0,0,10.25,5,0.11,0,No,No,Yes,,43910787,93203cb5-af3b-4392-b587-14684a14df60
Mint Coldwater,175844397,2026-01-12T20:50:11.417,Retail,In Store,Walk In,42109469,2,No,48229,Katie Brehmer,6 PM,25.4,7.56,17.84,2.96,0,20.8,5,21,0,0,0,0,21,0.2,0.45,0,No,No,No,,175844397,da3da59e-5f7a-4ac8-9c24-f136c641ac90
Mint Coldwater,175844765,2026-01-12T19:30:08.193,Retail,In-Store Pickup,Dutchie,27859388,2,No,53726,Kaitlin Kratzer,7 AM,212.01,131.06,80.95,13.44,0,94.39,32,100,0,0,0,0,100,5.61,2.02,2.06,No,No,No,,40343152,b0dcb8c7-f52b-4f6b-b8e7-abbd7f79648f
Mint Coldwater,175845316,2026-01-12T19:09:28.457,Retail,In Store,Walk In,46887192,2,No,56205,Erin Taylor,2PM,23,0,23,3.82,0,26.82,2,27,0,0,0,0,27,0.18,0.58,0,No,No,No,,175845316,c75b4f36-bfc8-4af9-865b-15ec6c2489df
Mint Coldwater,175845656,2026-01-12T19:43:47.77,Retail,In-Store Pickup,Dutchie,45714446,2,No,53726,Kaitlin Kratzer,7 AM,20,10,10,1.66,0,11.66,1,12,0,0,0,0,12,0.34,0.25,0,No,No,No,,570306941,6adce521-b4dc-46ec-b873-fd9395c12eac
Mint Coldwater,175845764,2026-01-12T19:55:55.96,Retail,In Store,Walk In,36436928,2,No,56205,Erin Taylor,2PM,150.02,33.93,116.09,19.27,0,135.36,6,140,0,0,0,0,140,4.64,2.9,12.34,No,No,No,,175845764,5959968c-dae2-4216-99dd-e9cdb85ff031
Mint Coldwater,175845820,2026-01-12T20:01:07.68,Retail,In Store,Walk In,44249094,2,No,53726,Kaitlin Kratzer,7 AM,52,28.25,23.75,3.94,0,27.69,3,40,0,0,0,0,40,12.31,0.59,0,No,No,No,,175845820,9b256727-24ec-49d6-a1ac-3ed97751106d
Mint Coldwater,175845994,2026-01-12T20:11:11.993,Retail,In Store,Walk In,27853197,2,No,48229,Katie Brehmer,6 PM,20,11.32,8.68,1.44,0,10.12,1,10.12,0,0,0,0,10.12,0,0.22,1.32,No,No,No,,175845994,3bae8145-82ac-4331-b24d-62a11ce6731f
Mint Coldwater,175846069,2026-01-12T20:22:11.373,Retail,In Store,Walk In,47045029,2,No,53726,Kaitlin Kratzer,7 AM,127.65,31.92,95.73,15.89,0,111.62,3,120,0,0,0,0,120,8.38,4.79,0,No,No,No,,175846069,f672209e-7e55-4803-b66f-42bb7043e1e0
Mint Coldwater,175846160,2026-01-12T20:26:01.157,Retail,In Store,Walk In,46978502,2,No,56205,Erin Taylor,2PM,40.25,3.65,36.6,6.08,0,42.68,7,43,0,0,0,0,43,0.32,0.92,3.65,No,No,No,,175846160,c1c9386d-2cd5-4239-a526-41d35661f57b
