Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Melbourne,175840929,2026-01-13T11:39:33.707,Retail,In Store,Walk In,46180213,1,Yes,59704,Robert Jimenez,POS Register 3,20,20,0,0,0,0,1,0,0,0,0,0,0,0,,,No,No,No,,175840929,ae274e0c-d4b3-46f4-a8cf-8601724e726f
Mint Melbourne,175845245,2026-01-12T19:40:20.893,Retail,In-Store Pickup,Dutchie,46285614,1,Yes,59890,Cory Gates,POS Register 2,95,52.25,42.75,0,0,42.75,1,0,50,0,0,0,0,7.25,,,No,No,No,,954055271,5df9339a-97d1-47d9-be3a-73adcdfeec3a
Mint Melbourne,175845397,2026-01-12T19:15:10.93,Retail,In Store,Walk In,46249543,1,Yes,59890,Cory Gates,POS Register 2,60,33,27,0,0,27,1,27,0,0,0,0,27,0,,,No,No,No,,175845397,ca3102d0-0f31-4c7b-b8cb-1242746a2ae4
Mint Melbourne,175845527,2026-01-12T19:27:22.9,Retail,In Store,Walk In,46188416,1,Yes,59890,Cory Gates,POS Register 2,45,9,36,0,0,36,1,0,40,0,0,0,0,4,,,No,No,No,,175845527,7d86d395-05cd-493b-befd-099be7eddf4f
Mint Melbourne,175845781,2026-01-12T19:49:31.44,Retail,In Store,Walk In,46236763,1,Yes,59637,Haylee Lacy,POS Register 3,35,14.7,20.3,0,0,20.3,1,21,0,0,0,0,21,0.7,,,No,No,No,,175845781,559ac398-e0b1-4944-85e7-85374b9d60fd
Mint Melbourne,175845819,2026-01-12T19:57:14.413,Retail,In Store,Walk In,46265145,1,Yes,59890,Cory Gates,POS Register 2,258,124.8,133.2,0,0,133.2,7,0,140,0,0,0,0,6.8,,,No,No,No,,175845819,55f5f0ae-639a-4d31-88eb-e901d071edaa
Mint Melbourne,175845983,2026-01-12T20:08:29.697,Retail,In Store,Walk In,46849554,1,Yes,59637,Haylee Lacy,POS Register 3,95,52.25,42.75,0,0,42.75,1,45,0,0,0,0,45,2.25,,,No,No,No,,175845983,023766a2-4523-4f28-8199-a02744e139ca
Mint Melbourne,175846223,2026-01-12T20:29:48.36,Retail,In Store,Walk In,46635003,1,Yes,59890,Cory Gates,POS Register 2,90,39,51,0,0,51,3,0,60,0,0,0,0,9,,,No,No,No,,175846223,5f1f4732-cdcc-4033-9d1e-7b31e0c520b3
Mint Melbourne,175848201,2026-01-13T08:46:45.85,Retail,In-Store Pickup,Dutchie,46215721,1,Yes,59893,Holland Robinson,POS Register 5,135,101.25,33.75,0,0,33.75,2,0,40,0,0,0,0,6.25,,,No,No,No,,756189490,b5ee1fed-f252-43e9-b352-9aaf3d03c1fb
Mint Melbourne,175848627,2026-01-13T08:12:12.667,Retail,In Store,Walk In,46602700,1,Yes,59893,Holland Robinson,POS Register 5,60,20,40,0,0,40,2,50,0,0,0,0,50,10,,,No,No,No,,175848627,d00b1118-55c1-4ccf-bd56-88b24b5604af
Mint Melbourne,175848665,2026-01-13T09:36:25.227,Retail,In-Store Pickup,Dutchie,46143038,1,Yes,59893,Holland Robinson,POS Register 5,125,81,44,0,0,44,2,60,0,0,0,0,60,16,,,No,No,No,,361546090,be0cf46b-f15c-4a4b-b9a9-1660d3553973
