Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Miami,175846343,2026-01-12T20:43:50.233,Retail,In Store,Walk In,46838317,1,Yes,60139,Haliee Greenberg,POS Register 3,95,47.7,47.3,0,0,47.3,2,50,0,0,0,0,50,2.7,,,No,No,No,,175846343,65188ff2-f9ac-4d87-a5e2-d961d0b754fe
Mint Miami,175848622,2026-01-13T08:09:02.43,Retail,In Store,Walk In,46278287,1,Yes,59873,Jack Thomas,POS Register 1,60,60,0,0,0,0,1,0,0,0,0,0,0,0,,,No,No,No,,175848622,f42c08b4-302b-4ec3-a78c-d75bdd424ed2
Mint Miami,175849205,2026-01-13T11:03:21.28,Retail,In Store,Walk In,47045367,1,Yes,60584,Travis David Kaleb Wong,POS Register 6,420,252,168,0,0,168,6,0,170,0,0,0,0,2,,,No,No,No,,175849205,6efa61e9-5b1a-42b1-bb4e-e63da3898a99
Mint Miami,175849326,2026-01-13T11:20:34.963,Retail,In Store,Walk In,46209034,1,Yes,59873,Jack Thomas,POS Register 1,40,11,29,0,0,29,2,0,30,0,0,0,0,1,,,No,No,No,,175849326,da07e116-cbaf-4b68-9cf9-43ab4df54907
Mint Miami,175849937,2026-01-13T12:44:23.057,Retail,In Store,Walk In,47045443,1,Yes,59873,Jack Thomas,POS Register 1,197,123,74,0,0,74,5,0,80,0,0,0,0,6,,,No,No,No,,175849937,d32c3cbc-e627-4f57-9fd9-acb4f845e512
Mint Miami,175850395,2026-01-13T13:40:06.6,Retail,In Store,Walk In,46644650,1,Yes,59772,Jolie Louison,POS Register 4,105,45,60,0,0,60,3,60,0,0,0,0,60,0,,,No,No,No,,175850395,dc48183a-8e20-4e3d-a857-2f8d6728267f
Mint Miami,175850549,2026-01-13T13:57:38.707,Retail,In Store,Walk In,46690269,1,Yes,59772,Jolie Louison,POS Register 4,120,76,44,0,0,44,2,44,0,0,0,0,44,0,,,No,No,No,,175850549,3f7dd2db-02ee-4609-b800-6f7ef8c3815c
Mint Miami,175850573,2026-01-13T13:58:13.777,Retail,In Store,Walk In,46690269,1,Yes,59772,Jolie Louison,POS Register 4,0,0,0,0,,0,1,1,0,0,0,0,1,1,,,No,No,No,,175850549,58ac24e3-9cd7-4921-b620-05b307579b2f
Mint Miami,175851640,2026-01-13T15:58:06.23,Retail,In Store,Walk In,46276937,1,Yes,59873,Jack Thomas,POS Register 1,35,15,20,0,0,20,1,20,0,0,0,0,20,0,,,No,No,No,,175851640,ba91b72f-b6e6-4094-ad07-3c5f038fa58f
Mint Miami,175852293,2026-01-13T17:04:43.213,Retail,In Store,Walk In,47041001,1,Yes,59873,Jack Thomas,POS Register 1,65,40,25,0,0,25,2,40,0,0,0,0,40,15,,,No,No,No,,175852293,da84341b-92ad-46b2-9944-ed0d7a42b965
Mint Miami,175852296,2026-01-13T17:03:06.897,Retail,In Store,Walk In,46204970,1,Yes,59772,Jolie Louison,POS Register 4,70,30,40,0,0,40,2,0,0,0,0,40,0,0,,,No,No,No,,175852296,cc8ab5af-cc55-43d7-8a96-641c7132c200
Mint Miami,175852690,2026-01-13T17:39:51.697,Retail,In Store,Walk In,46968700,1,Yes,59772,Jolie Louison,POS Register 4,120,76,44,0,0,44,2,0,50,0,0,0,0,6,,,No,No,No,,175852690,f6123d25-abe1-44fc-8192-e280d0041b84
Mint Miami,175852816,2026-01-13T17:54:43.4,Retail,In Store,Walk In,46231268,1,Yes,59873,Jack Thomas,POS Register 1,180,180,0,0,0,0,3,0,0,0,0,0,0,0,,,No,No,No,,175852816,5de3cbfc-4e02-4c9b-abd5-77c35e6cfb3e
Mint Miami,175853425,2026-01-13T18:52:17.17,Retail,In Store,Walk In,46977414,1,Yes,59873,Jack Thomas,POS Register 1,215,82.25,132.75,0,0,132.75,2,140,0,0,0,0,140,7.25,,,No,No,No,,175853425,08790f76-e6c9-4aa9-a2a3-9367faf527aa
