Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint New Buffalo,175843787,2026-01-12T19:28:02.417,Retail,In-Store Pickup,Dutchie,46839605,2,No,60463,Alyvia Ohime,11AM,57.51,11,46.51,7.72,0,54.23,5,100,0,0,0,0,100,45.77,1.16,0,No,No,No,,198616613,ce4ce3ef-367e-4de4-b4ca-fddc88c2f383
Mint New Buffalo,175845484,2026-01-12T19:23:39.987,Retail,In Store,Walk In,46531277,2,No,60463,Alyvia Ohime,11AM,24,11.5,12.5,2.08,0,14.58,1,20,0,0,0,0,20,5.42,0.31,0,No,No,No,,175845484,8662e88f-ac1b-4cfd-9388-7078bfcf4aeb
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,Retail,In Store,Walk In,46797510,2,No,60420,Quintel Terrell,7AM,138,49.75,88.25,14.65,0,102.9,13,103,0,0,0,0,103,0.1,2.21,0,No,No,No,,175848694,b97a98fe-5dd5-4f2b-ad41-4014586abddc
Mint New Buffalo,175848720,2026-01-13T09:10:01.923,Retail,In Store,Walk In,47000705,2,No,60420,Quintel Terrell,7AM,124.01,24.98,99.03,16.44,0,115.47,5,150,0,0,0,0,150,34.53,2.48,0,No,No,No,,175848720,0c6e2b38-eabd-4a4c-bd76-a5d51a306896
Mint New Buffalo,175848748,2026-01-13T09:11:35.317,Retail,In Store,Walk In,47000705,2,No,60420,Quintel Terrell,7AM,118,19,99,16.43,0,115.43,2,120.5,0,0,0,0,120.5,5.07,2.48,0,No,No,No,,175848748,e0ead2c4-237c-4f6e-807c-4174aa6e065b
Mint New Buffalo,175848802,2026-01-13T10:50:58.933,Retail,In-Store Pickup,Dutchie,47045332,2,No,60420,Quintel Terrell,7AM,39.21,9.82,29.39,4.88,0,34.27,7,40,0,0,0,0,40,5.73,1.47,0,No,No,No,,295929601,770dc2d2-439b-4527-a372-b726af11fd04
Mint New Buffalo,175848933,2026-01-13T12:25:44.337,Retail,Curbside Pickup,Dutchie,47045344,2,No,60420,Quintel Terrell,7AM,126,39.99,86.01,14.28,0,100.29,4,100.29,0,0,0,0,100.29,0,4.3,0,No,No,No,,88197906,7e8f8d2f-f1d3-4b7c-9947-d8bfd2580fe0
Mint New Buffalo,175849111,2026-01-13T10:46:37.337,Retail,In Store,Walk In,47045361,2,No,60420,Quintel Terrell,7AM,110.81,27.7,83.11,13.8,0,96.91,7,97,0,0,0,0,97,0.09,4.16,0,No,No,No,,175849111,9b76e301-384c-4551-8a5c-9b45e384d776
Mint New Buffalo,175849116,2026-01-13T10:42:05.977,Retail,In Store,Walk In,32846470,2,No,58977,Tabitha Hibbard,2AM,43.8,10.89,32.91,5.46,0,38.37,3,40,0,0,0,0,40,1.63,0.82,4.32,No,No,No,,175849116,9730279f-1c7d-4f0e-a3fa-f50b6213317d
Mint New Buffalo,175849143,2026-01-13T14:46:42.803,Retail,In-Store Pickup,Dutchie,45972839,2,No,59340,Alan Perez,7PM,101.2,6.7,94.5,15.68,0,110.18,4,115,0,0,0,0,115,4.82,2.36,6.7,No,No,No,,942336764,da487237-abbd-4b9f-9e40-12941e21111b
Mint New Buffalo,175849330,2026-01-13T11:27:30.303,Retail,In Store,Walk In,45971589,2,No,60420,Quintel Terrell,7AM,107.31,24.65,82.66,13.72,0,96.38,7,100,0,0,0,0,100,3.62,2.07,0,No,No,No,,175849330,b77f1a22-a23e-422d-8b7f-db49ce15d75f
Mint New Buffalo,175849464,2026-01-13T14:19:19.427,Retail,In-Store Pickup,Dutchie,47045392,2,No,58977,Tabitha Hibbard,2AM,95.46,24.02,71.44,11.86,0,83.3,33,100,0,0,0,0,100,16.7,3.57,0,No,No,No,,925036524,30b3a041-c054-42c7-ad25-3ee43ac2ee92
Mint New Buffalo,175849647,2026-01-13T12:19:00.62,Retail,In Store,Walk In,46600209,2,No,60420,Quintel Terrell,7AM,152.75,42.67,110.08,18.27,0,128.35,5,130,0,0,0,0,130,1.65,5.5,0,No,No,No,,175849647,4a65000b-1406-45aa-bfce-4f772d89b1c5
Mint New Buffalo,175849682,2026-01-13T12:28:40.47,Retail,In Store,Walk In,47045410,2,No,58977,Tabitha Hibbard,2AM,47,22.97,24.03,3.99,0,28.02,5,30.02,0,0,0,0,30.02,2,1.2,0,No,No,No,,175849682,33ce4451-c02c-4779-a151-b216513f9644
Mint New Buffalo,175849732,2026-01-13T12:21:05.08,Retail,In Store,Walk In,46600209,2,No,60420,Quintel Terrell,7AM,135,0,135,22.41,0,157.41,1,160.45,0,0,0,0,160.45,3.04,3.38,0,No,No,No,,175849732,3f702ac4-48fa-437d-8911-6ac93c9ad187
Mint New Buffalo,175849884,2026-01-13T14:26:42.577,Retail,In-Store Pickup,Dutchie,46886024,2,No,60420,Quintel Terrell,7AM,119.01,41.49,77.52,12.87,0,90.39,6,101,0,0,0,0,101,10.61,1.94,0,No,No,No,,321840173,f3b4c79f-bbfb-4929-a3b9-e505e08c4e4a
Mint New Buffalo,175849885,2026-01-13T12:52:09.637,Retail,In Store,Walk In,44116154,2,No,60420,Quintel Terrell,7AM,152.5,19,133.5,22.16,0,155.66,3,200,0,0,0,0,200,44.34,3.34,0,No,No,No,,175849885,8587106a-8d84-4000-a5f6-246f70817498
Mint New Buffalo,175849940,2026-01-13T12:48:42.91,Retail,In Store,Walk In,46675474,2,No,58977,Tabitha Hibbard,2AM,43,0,43,7.14,0,50.14,2,51,0,0,0,0,51,0.86,1.08,0,No,No,No,,175849940,25448659-1667-45c3-be10-e3d86f9d1d2f
Mint New Buffalo,175849976,2026-01-13T13:07:59.727,Retail,In Store,Walk In,46891051,2,No,58977,Tabitha Hibbard,2AM,342,60.5,281.5,46.73,0,328.23,18,350,0,0,0,0,350,21.77,7.04,0,No,No,No,,175849976,48344e01-4492-4f78-a4cd-d11969b8d7de
Mint New Buffalo,175850013,2026-01-13T12:54:31.927,Retail,In Store,Walk In,44116154,2,No,60420,Quintel Terrell,7AM,69.03,0,69.03,11.46,0,80.49,4,90,0,0,0,0,90,9.51,1.73,0,No,No,No,,175850013,6380eafb-2e6b-46c1-b8cd-310892cf9a29
Mint New Buffalo,175850090,2026-01-13T13:12:29.153,Retail,In Store,Walk In,45877921,2,No,60420,Quintel Terrell,7AM,46,11,35,5.81,0,40.81,2,41,0,0,0,0,41,0.19,0.88,0,No,No,No,,175850090,406c2bbd-8298-4911-bc47-e7eeda1d4456
Mint New Buffalo,175850094,2026-01-13T13:12:43.803,Retail,In Store,Walk In,47045456,2,No,59095,Ayanna Campbell-Nimrod,2AM,16,4,12,0.72,0,12.72,4,50,0,0,0,0,50,37.28,0.6,0,No,No,No,,175850094,944612ab-e980-4580-a139-1d32377df41e
Mint New Buffalo,175850129,2026-01-13T13:12:13.153,Retail,In Store,Walk In,46891051,2,No,58977,Tabitha Hibbard,2AM,167.02,27.2,139.82,23.21,0,163.03,7,170.03,0,0,0,0,170.03,7,3.5,21.2,No,No,No,,175850129,ee55111f-732f-4c24-8f0a-09d86eee03cd
Mint New Buffalo,175850167,2026-01-13T13:13:09.087,Retail,In Store,Walk In,46891051,2,No,58977,Tabitha Hibbard,2AM,15,6,9,1.49,0,10.49,3,20,0,0,0,0,20,9.51,0.23,0,No,No,No,,175850167,62fd5d40-449d-47bd-b558-4ea19d438797
Mint New Buffalo,175850433,2026-01-13T14:03:37.743,Retail,In-Store Pickup,Dutchie,45932824,2,No,58977,Tabitha Hibbard,2AM,19.54,3.9,15.64,2.6,0,18.24,4,20,0,0,0,0,20,1.76,0.39,0,No,No,No,,185660353,498a3ffc-692d-49b3-b8b9-4285fc2d27b7
Mint New Buffalo,175850437,2026-01-13T13:56:45.297,Retail,In Store,Walk In,46599993,2,No,60420,Quintel Terrell,7AM,223.15,13.97,209.18,34.72,0,243.9,12,250,0,0,0,0,250,6.1,5.23,0,No,No,No,,175850437,05033d5c-8532-4c49-ac4f-8e22655a0cc3
Mint New Buffalo,175850566,2026-01-13T14:05:35.357,Retail,In Store,Walk In,47045507,2,No,60420,Quintel Terrell,7AM,84.7,24.14,60.56,10.05,0,70.61,11,80,0,0,0,0,80,9.39,3.03,0,No,No,No,,175850566,7aa33964-dcbc-4088-90b1-da9bb12b3e15
Mint New Buffalo,175850631,2026-01-13T14:07:14.38,Retail,In Store,Walk In,46790808,2,No,58977,Tabitha Hibbard,2AM,69.01,19,50.01,8.3,0,58.31,3,60,0,0,0,0,60,1.69,1.25,0,No,No,No,,175850631,21bed3f5-80ca-47c7-be33-a660154cc283
Mint New Buffalo,175850822,2026-01-13T14:30:15.217,Retail,In Store,Walk In,46082115,2,No,60420,Quintel Terrell,7AM,19.55,4.4,15.15,2.51,0,21.16,1,0,0,0,0,0,0,0,0.38,0,No,No,Yes,,175850822,c03a842a-cf58-44a3-92fe-d903fd81d76b
Mint New Buffalo,175850864,2026-01-13T14:41:25.07,Retail,In Store,Walk In,47045541,2,No,58977,Tabitha Hibbard,2AM,100.2,31.92,68.28,11.33,0,79.61,33,100,0,0,0,0,100,20.39,3.41,0,No,No,No,,175850864,fdb3808b-c0cb-4807-bad3-d2696f67a450
Mint New Buffalo,175850867,2026-01-13T14:41:56.81,Retail,In Store,Walk In,38222781,2,No,58977,Tabitha Hibbard,2AM,109.53,33.43,76.1,12.63,0,88.73,23,100,0,0,0,0,100,11.27,1.9,0,No,No,No,,175850867,579cd0a0-8dfb-43a5-9276-02e0b64d1200
Mint New Buffalo,175850910,2026-01-13T14:42:34.343,Retail,In Store,Walk In,46903364,2,No,59340,Alan Perez,7PM,32.25,6.9,25.35,4.21,0,29.56,2,50,0,0,0,0,50,20.44,0.63,0,No,No,No,,175850910,6617dc76-b876-4a07-8d65-6c316e74ac8f
Mint New Buffalo,175850965,2026-01-13T14:44:11.427,Retail,In Store,Walk In,38222781,2,No,58977,Tabitha Hibbard,2AM,21.01,6,15.01,2.49,0,17.5,8,20,0,0,0,0,20,2.5,0.38,0,No,No,No,,175850965,80c4ee48-7fd8-415c-bdab-019d67b40663
Mint New Buffalo,175850969,2026-01-13T14:43:33.203,Retail,In Store,Walk In,46903364,2,No,59340,Alan Perez,7PM,58.6,8.6,50,8.3,0,58.3,10,60,0,0,0,0,60,1.7,1.25,0,No,No,No,,175850969,4605b626-1940-4d6f-a167-6457cd1bc7ed
Mint New Buffalo,175851136,2026-01-13T15:09:09.457,Retail,In Store,Walk In,46914359,2,No,59095,Ayanna Campbell-Nimrod,6PM,92,31.4,60.6,10.06,0,70.66,5,71,0,0,0,0,71,0.34,1.52,7,No,No,No,,175851136,3d1dd9b2-5cad-4fbd-8bd9-f1a2e239a6ec
Mint New Buffalo,175851482,2026-01-13T15:54:28.207,Retail,In Store,Walk In,46001807,2,No,59340,Alan Perez,7PM,281.6,73,208.6,34.63,0,243.23,16,244,0,0,0,0,244,0.77,5.22,0,No,No,No,,175851482,56d6fa46-e5d6-4a95-a0e7-3d96f903024d
Mint New Buffalo,175851524,2026-01-13T16:19:38.86,Retail,In-Store Pickup,Dutchie,47045603,2,No,59095,Ayanna Campbell-Nimrod,6PM,126.99,34.97,92.02,15.28,0,107.3,20,120.3,0,0,0,0,120.3,13,4.6,0,No,No,No,,582447277,3ce33996-501a-4ac8-b96d-93e05090beb5
Mint New Buffalo,175851616,2026-01-13T15:56:36.813,Retail,In Store,Walk In,46001807,2,No,59340,Alan Perez,7PM,126.6,0,126.6,21.02,0,147.62,15,150.62,0,0,0,0,150.62,3,3.17,0,No,No,No,,175851616,70fceeb8-19cc-4d7b-a527-5bf79c2918f8
Mint New Buffalo,175851644,2026-01-13T15:58:57.273,Retail,In Store,Walk In,46001807,2,No,59340,Alan Perez,7PM,75.9,5.1,70.8,11.75,0,82.55,11,100,0,0,0,0,100,17.45,1.77,0,No,No,No,,175851644,508470f8-7135-4725-a523-4c50d8e3bc3a
Mint New Buffalo,175851668,2026-01-13T16:00:26.913,Retail,In Store,Walk In,46001807,2,No,59340,Alan Perez,7PM,42,29.67,12.33,2.04,0,14.37,14,14.37,0,0,0,0,14.37,0,0.31,12.67,No,No,No,,175851668,74afd1d0-65a6-4274-96d9-1704c45e3e1f
Mint New Buffalo,175851690,2026-01-13T16:03:23.6,Retail,In Store,Walk In,24262513,2,No,59340,Alan Perez,7PM,34.5,3.45,31.05,5.15,0,36.2,1,50,0,0,0,0,50,13.8,0.78,0,No,No,No,,175851690,cb7f0610-12ee-44df-9861-2de4e63a629a
Mint New Buffalo,175851828,2026-01-13T16:25:26.903,Retail,In Store,Walk In,47045629,2,No,59340,Alan Perez,7PM,57.51,14.38,43.13,7.16,0,50.29,3,51,0,0,0,0,51,0.71,2.16,0,No,No,No,,175851828,9ddd52f4-a670-47a1-8e70-2613766945a1
Mint New Buffalo,175851829,2026-01-13T16:24:54.68,Retail,In Store,Walk In,47045630,2,No,59340,Alan Perez,7PM,115.4,40.08,75.32,12.5,0,87.82,12,90,0,0,0,0,90,2.18,3.77,0,No,No,No,,175851829,77428682-d16c-430b-8f3f-c4f3bf01f32f
Mint New Buffalo,175851956,2026-01-13T16:30:11.42,Retail,In Store,Walk In,47045603,2,No,59340,Alan Perez,7PM,16.9,4.6,12.3,2.04,0,14.34,2,15,0,0,0,0,15,0.66,0.31,4.6,No,No,No,,175851956,3f42d8e0-8562-4363-8f81-c91d72fdd73c
Mint New Buffalo,175852265,2026-01-13T17:01:26.013,Retail,In Store,Walk In,45993853,2,No,59340,Alan Perez,7PM,23.32,3.38,19.94,3.31,0,23.25,1,24,0,0,0,0,24,0.75,0.5,0,No,No,No,,175852265,1e1e4509-4e89-413b-8117-561db7b116e5
Mint New Buffalo,175852468,2026-01-13T17:27:45.533,Retail,In Store,Walk In,31744020,2,No,59095,Ayanna Campbell-Nimrod,6PM,118,31.25,86.75,14.4,0,101.15,19,120,0,0,0,0,120,18.85,4.34,0,No,No,No,,175852468,e1428b7c-2a8f-475a-a774-cd9a65b92902
Mint New Buffalo,175852470,2026-01-13T17:32:17.247,Retail,In Store,Walk In,43370410,2,No,59340,Alan Perez,7PM,40,10,30,4.98,0,34.98,2,40,0,0,0,0,40,5.02,1.5,0,No,No,No,,175852470,2c9c54f8-357e-4afb-aebd-5db86feba5ec
Mint New Buffalo,175852588,2026-01-13T17:28:36.053,Retail,In Store,Walk In,31744020,2,No,59095,Ayanna Campbell-Nimrod,6PM,135,0,135,22.41,0,157.41,1,200,0,0,0,0,200,42.59,3.38,0,No,No,No,,175852588,a2e0a4bc-45ff-41de-af01-fa258620fcae
Mint New Buffalo,175852597,2026-01-13T17:29:57.797,Retail,In Store,Walk In,31744020,2,No,59095,Ayanna Campbell-Nimrod,6PM,135,9.37,125.63,20.85,0,146.48,1,146.48,0,0,0,0,146.48,0,3.14,9.37,No,No,No,,175852597,0a7ae2d6-e739-422d-a49e-43b4c11019c1
