Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Northern Phoenix,175840823,2026-01-12T19:01:24.1,Retail,In-Store Pickup,Dutchie,16810529,2,No,59145,Shane Davey,Station #10 PM,59,29.3,29.7,7.45,0,37.15,2,40,0,0,0,0,40,2.85,0.03,0,No,No,No,,105919065,9f4e5c9d-a760-4792-98dd-4f7ff0873d09
Mint Northern Phoenix,175842843,2026-01-12T20:07:18.88,Retail,In-Store Pickup,Dutchie,31916440,2,No,58821,Miranda Acker,Station #8 PM,17,5,12,3.01,0,15.01,2,20,0,0,0,0,20,5,0.01,0,No,No,No,,818770288,157c509e-163f-4e4c-b7fc-771533525667
Mint Northern Phoenix,175843724,2026-01-12T19:26:53.95,Retail,In-Store Pickup,Dutchie,27925693,2,No,59145,Shane Davey,Station #10 PM,145,65.6,79.4,19.93,0,99.33,5,100,0,0,0,0,100,0.65,0.08,0,No,No,No,,361100414,863346b4-3d2d-4fcf-aeef-2d75c9ae688e
Mint Northern Phoenix,175844215,2026-01-12T21:02:25.98,Retail,In-Store Pickup,Leafly,16822353,1,Yes,58821,Miranda Acker,Station #8 PM,65,30,35,3.19,0,38.19,4,40,0,0,0,0,40,1.8,0.04,0,No,No,No,,175844215,cad35f27-8184-4b6b-945a-24437b156b6c
Mint Northern Phoenix,175844726,2026-01-12T19:03:32.083,Retail,In-Store Pickup,Dutchie,34596571,2,No,58821,Miranda Acker,Station #8 PM,176,94,82,20.58,0,102.58,6,120,0,0,0,0,120,17.4,0.08,0,No,No,No,,251042640,1a070aba-a230-4b21-acde-f62fca5796b0
Mint Northern Phoenix,175844799,2026-01-12T19:57:13.703,Retail,In-Store Pickup,Dutchie,41208717,2,No,58821,Miranda Acker,Station #8 PM,80,43,37,9.29,0,46.29,5,100,0,0,0,0,100,53.7,0.04,0,No,No,No,,169474891,bc62297e-3272-4e5f-87ec-637400c9bf5d
Mint Northern Phoenix,175844847,2026-01-12T20:25:30.777,Retail,In-Store Pickup,Dutchie,46842965,2,No,59145,Shane Davey,Station #10 PM,30,6,24,6.02,0,30.02,3,40,0,0,0,0,40,10,0.02,0,No,No,No,,417625802,58aeb2ef-24b3-4896-bfe4-668198885dfe
Mint Northern Phoenix,175845017,2026-01-12T19:12:10.537,Retail,In-Store Pickup,Dutchie,31088313,2,No,60602,Alexus James,Station #13 PM,21,5,16,4.02,0,20.02,2,20.02,0,0,0,0,20.02,0,,,No,No,No,,657749914,f328f960-0452-48fd-8128-36772384fc05
Mint Northern Phoenix,175845124,2026-01-12T19:34:50.837,Retail,In-Store Pickup,Dutchie,21118894,2,No,58821,Miranda Acker,Station #8 PM,25,10,15,3.77,0,18.77,2,20,0,0,0,0,20,1.25,,,No,No,No,,525668219,ee0c8af1-d322-4eef-834b-25358548a2cd
Mint Northern Phoenix,175845185,2026-01-12T19:00:20.193,Retail,In Store,Walk In,45631392,2,No,59145,Shane Davey,Station #10 PM,60,1,59,14.81,0,73.81,1,80,0,0,0,0,80,6.2,0.06,0,No,No,No,,175845185,103edb6c-81f5-4caa-8df8-14855e21fa02
Mint Northern Phoenix,175845197,2026-01-12T19:02:54.523,Retail,In Store,Walk In,47044881,2,No,58789,Brittiny Burnett,Station #1 PM,12,0,12,3.01,0,15.01,1,20,0,0,0,0,20,5,,,No,No,No,,175845197,250dc47c-6a7e-4300-bc88-5c6e063b0f15
Mint Northern Phoenix,175845205,2026-01-12T19:02:14.027,Retail,In Store,Walk In,21786310,2,No,59145,Shane Davey,Station #10 PM,5,0,5,1.26,0,6.26,1,6.3,0,0,0,0,6.3,0.05,0.01,0,No,No,No,,175845205,f16ad03d-8a14-4646-b552-a3b619cb0653
Mint Northern Phoenix,175845213,2026-01-12T19:03:22.9,Retail,In Store,Walk In,37603724,2,No,59145,Shane Davey,Station #10 PM,25,6,19,4.77,0,23.77,2,25,0,0,0,0,25,1.25,,,No,No,No,,175845213,b670b239-c313-4af4-b703-cac07df465a4
Mint Northern Phoenix,175845228,2026-01-12T19:04:14.23,Retail,In Store,Walk In,28565782,2,No,59145,Shane Davey,Station #10 PM,25,10,15,3.77,0,18.77,2,20,0,0,0,0,20,1.25,,,No,No,No,,175845228,e67d81bd-26af-4b09-9bfd-6e905efe921e
Mint Northern Phoenix,175845236,2026-01-12T19:06:18.39,Retail,In Store,Walk In,28105219,2,No,58821,Miranda Acker,Station #8 PM,21,9,12,3.01,0,15.01,2,20,0,0,0,0,20,5,0.01,0,No,No,No,,175845236,572f1168-1701-46c7-a0c9-ac8fc93d405e
