Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Spring Valley,175843539,2026-01-12T21:46:15.973,Retail,In-Store Pickup,Dutchie,46333396,2,No,60588,Alexis Camarillo,Register 2,20,0,20,3.68,0,23.68,1,40,0,0,0,0,40,16.32,,,No,No,No,,503516114,384a7e5f-e0c2-4a96-a4d0-e24bd260fefa
Mint Spring Valley,175845325,2026-01-12T19:10:01.383,Retail,In Store,Walk In,46808164,2,No,60588,Alexis Camarillo,Register 2,14,0,14,2.57,0,16.57,2,20,0,0,0,0,20,3.43,,,No,No,No,,175845325,dd40c433-2726-41aa-9529-e2a8bea6c7dd
Mint Spring Valley,175845438,2026-01-12T19:20:31.07,Retail,In Store,Walk In,46972527,2,No,60588,Alexis Camarillo,Register 2,35,10,25,4.59,0,29.59,5,40,0,0,0,0,40,10.41,0.03,0,No,No,No,,175845438,51ab42f7-5679-41cc-8472-c17e35830428
Mint Spring Valley,175845454,2026-01-12T19:22:19.907,Retail,In Store,Walk In,47044973,2,No,60595,Melanie Gonzalez,Register 3,100,49.99,50.01,9.19,0,59.2,2,60,0,0,0,0,60,0.8,,,No,No,No,,175845454,905fc3d7-82ce-4fab-8dfd-6bd9eed53f50
Mint Spring Valley,175845511,2026-01-12T19:28:23.51,Retail,In Store,Walk In,45865064,2,No,60588,Alexis Camarillo,Register 2,96,56,40,7.35,0,47.35,2,48,0,0,0,0,48,0.65,,,No,No,No,,175845511,cab89936-0410-4ef1-af1c-084eda5bccb7
Mint Spring Valley,175845647,2026-01-12T19:42:41.383,Retail,In Store,Walk In,46847315,2,No,60588,Alexis Camarillo,Register 2,50,25,25,4.59,0,29.59,4,30,0,0,0,0,30,0.41,,,No,No,No,,175845647,e38e63e1-2d12-421a-bf45-5f25c1506b9d
Mint Spring Valley,175845797,2026-01-12T20:59:51.677,Retail,In-Store Pickup,Dutchie,46601885,2,No,60595,Melanie Gonzalez,Register 3,9,0,9,1.65,0,10.65,1,20.65,0,0,0,0,20.65,10,,,No,No,No,,436399197,f73b95b2-041c-42b4-a506-42f87268fb5b
Mint Spring Valley,175845807,2026-01-12T19:54:45.36,Retail,In Store,Walk In,46998130,2,No,60588,Alexis Camarillo,Register 2,48,28,20,3.68,0,23.68,1,24,0,0,0,0,24,0.32,,0,No,No,No,,175845807,50fb9c25-bdd0-4109-a815-084516ef731c
Mint Spring Valley,175846060,2026-01-12T20:18:20.33,Retail,In Store,Walk In,46135771,2,No,60588,Alexis Camarillo,Register 2,95,30,65,11.94,0,76.94,7,80,0,0,0,0,80,3.06,,,No,No,No,,175846060,64ead0d6-f13d-4ec7-a752-b4814ec8a928
Mint Spring Valley,175846219,2026-01-12T20:53:26.383,Retail,In-Store Pickup,Dutchie,47045042,2,No,60595,Melanie Gonzalez,Register 3,96,56,40,7.35,0,47.35,2,60,0,0,0,0,60,12.65,,,No,No,No,,394920757,924bbec2-bfac-4718-b191-5b249f813713
Mint Spring Valley,175846244,2026-01-12T20:32:17.243,Retail,In Store,Walk In,46606538,2,No,60588,Alexis Camarillo,Register 2,29,0,29,5.33,0,34.33,1,0,0,0,0,0,0,0,,,No,No,Yes,,175846244,95ed2f52-e4f8-4670-a6eb-4d823bc8d010
Mint Spring Valley,175846412,2026-01-12T20:47:07.237,Retail,In Store,Walk In,46022133,2,No,60595,Melanie Gonzalez,Register 3,92,0,92,16.91,6,108.91,2,0,0,0,0,0,0,0,,,No,No,Yes,,175846412,9d2aca12-5094-45df-9814-6d47d328e6ad
Mint Spring Valley,175846445,2026-01-12T20:48:51.393,Retail,In Store,Walk In,46043986,2,No,60595,Melanie Gonzalez,Register 3,44,0,44,8.09,0,52.09,1,55.09,0,0,0,0,55.09,3,0.04,0,No,No,No,,175846445,9d93f9ae-1ea2-487a-87aa-2625bd56ed1a
Mint Spring Valley,175846468,2026-01-12T20:54:51.65,Retail,In Store,Walk In,45920847,2,No,60588,Alexis Camarillo,Register 2,324,43.99,280.01,51.45,4,331.46,7,0,0,0,0,0,0,0,,,No,No,Yes,,175846468,e9a84275-fee1-408c-b151-a26d68c0b939
Mint Spring Valley,175846512,2026-01-12T20:57:21.7,Retail,In Store,Walk In,45872759,2,No,60595,Melanie Gonzalez,Register 3,29,0,29,5.33,0,34.33,2,40,0,0,0,0,40,5.67,,,No,No,No,,175846512,8d791665-42ee-46db-b8ec-ae51461b1b0d
Mint Spring Valley,175846524,2026-01-12T20:55:57.943,Retail,In Store,Walk In,45920847,2,No,60595,Melanie Gonzalez,Register 3,52,51.99,0.01,0,0,0.01,1,0.01,0,0,0,0,0.01,0,,,No,No,No,,175846524,1a4d408f-826a-4c03-bd69-a7725c6b837d
Mint Spring Valley,175846534,2026-01-12T20:59:07.46,Retail,In Store,Walk In,47045077,2,No,60588,Alexis Camarillo,Register 2,80,39.99,40.01,7.35,0,47.36,2,60,0,0,0,0,60,12.64,,,No,No,No,,175846534,a1b636e4-3ac8-45d4-a079-376bbe890b97
Mint Spring Valley,175846584,2026-01-12T21:04:30.967,Retail,In Store,Walk In,46578252,2,No,60588,Alexis Camarillo,Register 2,20,4,16,2.94,0,18.94,1,20,0,0,0,0,20,1.06,,,No,No,No,,175846584,1ff82887-87c6-463f-9aa2-541eeb145977
Mint Spring Valley,175846649,2026-01-12T21:17:51.587,Retail,In Store,Walk In,47045095,2,No,60588,Alexis Camarillo,Register 2,114,41.99,72.01,12.23,0,84.24,5,100,0,0,0,0,100,15.76,,,No,No,No,,175846649,d85acb1c-cde6-440a-aadc-c6bfb94c04a1
Mint Spring Valley,175846651,2026-01-12T21:12:14.917,Retail,In Store,Walk In,46572415,2,No,60595,Melanie Gonzalez,Register 3,48,28,20,3.68,0,23.68,1,100,0,0,0,0,100,76.32,,,No,No,No,,175846651,a5a31cc2-57d6-4612-bc25-50be6fbb5115
Mint Spring Valley,175846687,2026-01-12T21:21:17.777,Retail,In Store,Walk In,47045101,2,No,60595,Melanie Gonzalez,Register 3,79,39.49,39.51,7.26,0,46.77,2,60,0,0,0,0,60,13.23,,,No,No,No,,175846687,f3f042f4-036b-4a3a-84e4-9158133ecdbc
Mint Spring Valley,175846837,2026-01-12T21:34:56.477,Retail,In Store,Walk In,46000598,2,No,60588,Alexis Camarillo,Register 2,175.5,75.5,100,18.38,0,118.38,6,200,0,0,0,0,200,81.62,,,No,No,No,,175846837,cbd6836b-1e6a-43dc-84e4-644b743c4625
Mint Spring Valley,175846979,2026-01-13T00:00:10.78,Retail,In-Store Pickup,Dutchie,47014834,2,No,60588,Alexis Camarillo,Register 2,48,28,20,3.68,0,23.68,1,24,0,0,0,0,24,0.32,,,No,No,No,,571641477,a552c170-d670-4b52-aeca-7c802cbeadfe
Mint Spring Valley,175847102,2026-01-12T22:02:57.793,Retail,In Store,Walk In,46994468,2,No,60595,Melanie Gonzalez,Register 3,7,6.99,0.01,0,0,0.01,1,0.01,0,0,0,0,0.01,0,,,No,No,No,,175847102,361ee630-4f97-4c6c-9ef4-437877dec199
