Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint Stuart,175833037,2026-01-12T20:12:18.013,Retail,In Store,Walk In,46167188,1,Yes,59663,Kelsie Knight,POS Register 2,140,70,70,0,0,70,4,20,50,0,0,0,20,0,,,No,No,No,,175833037,efd66cf8-0365-470f-b872-61e8005b823a
Mint Stuart,175845480,2026-01-12T19:22:51.907,Retail,In Store,Walk In,46162744,1,Yes,59663,Kelsie Knight,POS Register 2,70,35,35,0,0,35,2,0,40,0,0,0,0,5,,,No,No,No,,175845480,588cdcac-0181-465c-90bf-34d927a56ede
Mint Stuart,175845786,2026-01-12T19:49:30.507,Retail,In Store,Walk In,46268847,1,Yes,59663,Kelsie Knight,POS Register 2,70,35,35,0,0,35,2,35,0,0,0,0,35,0,,,No,No,No,,175845786,1f691502-ed38-46f2-b9e0-4dd012e28ae2
Mint Stuart,175845971,2026-01-12T20:07:05.913,Retail,In Store,Walk In,46295532,1,Yes,59663,Kelsie Knight,POS Register 2,45,15.75,29.25,0,0,29.25,1,50,0,0,0,0,50,20.75,,,No,No,No,,175845971,591e672b-f891-44b4-be5d-e1fd63942619
Mint Stuart,175846217,2026-01-12T20:28:43.313,Retail,In Store,Walk In,46274554,1,Yes,59663,Kelsie Knight,POS Register 2,195,130,65,0,0,65,3,0,70,0,0,0,0,5,,,No,No,No,,175846217,3947ae8c-7576-4ee6-bfb4-88d14cdb20e6
Mint Stuart,175846269,2026-01-13T16:18:34.793,Retail,In-Store Pickup,Dutchie,46174418,1,Yes,59643,Connor Nelson,POS Register 3,230,77.5,152.5,0,0,152.5,4,0,160,0,0,0,0,7.5,,,No,No,No,,720158643,ee37c8c0-ca89-413b-892f-bcea61a0bc47
Mint Stuart,175848672,2026-01-13T08:43:53.273,Retail,In Store,Walk In,46295627,1,Yes,60075,Jarrett Daher,POS Register 1,80,35,45,0,0,45,2,45,0,0,0,0,45,0,,,No,No,No,,175848672,8471d526-0304-4514-907a-8929cd2e626c
Mint Stuart,175848897,2026-01-13T09:59:30.9,Retail,In Store,Walk In,46209062,1,Yes,59643,Connor Nelson,POS Register 3,130,90,40,0,0,40,3,40,0,0,0,0,40,0,,,No,No,No,,175848897,eecbc879-d87b-4ebd-8805-40cd039f7971
Mint Stuart,175848926,2026-01-13T10:06:52.947,Retail,In Store,Walk In,46213403,1,Yes,60075,Jarrett Daher,POS Register 1,140,84,56,0,0,56,4,60,0,0,0,0,60,4,,,No,No,No,,175848926,b0168394-b863-46e2-8e20-1b60a4489b26
Mint Stuart,175848963,2026-01-13T10:16:05.623,Retail,In Store,Walk In,47045345,1,Yes,59643,Connor Nelson,POS Register 3,190,114,76,0,0,76,2,100,0,0,0,0,100,24,,,No,No,No,,175848963,cf28803e-324d-46ad-9c4c-f50e8a4a9573
